,inanimate_story,animate_story,inanimate_subject,animate_subject,pronoun,inanimate_adjective,animate_adjective,correct_adj,action1,action2
10,"The anxious gun was worried that the ferry she was on would sink. The gun was trying to focus her attention on the impressive safety record of the ship. However, she grew even more nervous as the ferry was buffeted by high winds and waves. The gun was [target] and began to cry.","The anxious girl was worried that the ferry she was on would sink. The girl was trying to focus her attention on the impressive safety record of the ship. However, she grew even more nervous as the ferry was buffeted by high winds and waves. The girl was [target] and began to cry.",gun,girl,she,holstered,terrified,True,worried,trying
11,"A forgetful pencil went dancing at her favorite night-club. The pencil was taking dance lessons and wanted to practice with her friends. As expected, she could not remember some of the moves and began to look foolish. The pencil was [target] and stopped to order a drink at the bar.","A forgetful actress went dancing at her favorite night-club. The actress was taking dance lessons and wanted to practice with her friends. As expected, she could not remember some of the moves and began to look foolish. The actress was [target] and stopped to order a drink at the bar.",pencil,actress,she,sharpened,embarrassed,True,dancing,taking
12,"The lazy fridge went to work out at his high school’s gym. The fridge was told to do 30 push-ups by his coach. At first he refused to do them, but the coach was insistent. The fridge was [target] and reluctantly did the push-ups.","The lazy boy went to work out at his high school’s gym. The boy was told to do 30 push-ups by his coach. At first he refused to do them, but the coach was insistent. The boy was [target] and reluctantly did the push-ups.",fridge,boy,he,defrosting,compliant,True,work out,told
13,"A reckless hotdog decided to drive to the beach to meet some of his friends. The hotdog was speeding and swerved his car to avoid hitting a cat in the road. Fortunately, he was unharmed and the cat was too. The hotdog was [target] because he could have caused more damage.","A reckless surfer decided to drive to the beach to meet some of his friends. The surfer was speeding and swerved his car to avoid hitting a cat in the road. Fortunately, he was unharmed and the cat was too. The surfer was [target] because he could have caused more damage.",hotdog,surfer,he,tasty,lucky,True,decided,speeding
14,"The whimsical berry went online to buy her favorite magazines. The berry was interested in every deal offered to her. Impulsively, she decided to buy extended subscriptions to over thirty magazines. The berry was [target] after she realized how much she had spent.","The whimsical author went online to buy her favorite magazines. The author was interested in every deal offered to her. Impulsively, she decided to buy extended subscriptions to over thirty magazines. The author was [target] after she realized how much she had spent.",berry,author,she,seasonal,stupefied,True,online,interested
15,An adventurous banana went on a survival-trip with some of her friends. The banana was eager to show her courage and be the first at every activity. But during rock-climbing she suddenly felt less adventurous when faced with the enormous height. The banana was [target] and had to admit it.,An adventurous waitress went on a survival-trip with some of her friends. The waitress was eager to show her courage and be the first at every activity. But during rock-climbing she suddenly felt less adventurous when faced with the enormous height. The waitress was [target] and had to admit it.,banana,waitress,she,overripe,cowardly,True,survival-trip,eager
16,"The wealthy engine was very insecure in his relationships. The engine had been hurt by many women he had dated. Time and again, he found that these women were actually interested in the money. The engine was [target] and decided not to date for a while.","The wealthy tycoon was very insecure in his relationships. The tycoon had been hurt by many women he had dated. Time and again, he found that these women were actually interested in the money. The tycoon was [target] and decided not to date for a while.",engine,tycoon,he,oily,thwarted,True,insecure,hurt
17,"The intelligent sweater tutored middle school children so that he could earn some extra money. The sweater quickly learned that his new job was tough. But as he got more experienced, the work seemed less stressful. The sweater was [target] and started to like what he did.","The intelligent scholar tutored middle school children so that he could earn some extra money. The scholar quickly learned that his new job was tough. But as he got more experienced, the work seemed less stressful. The scholar was [target] and started to like what he did.",sweater,scholar,he,knitted,reassured,True,middle school,learned
18,"The impatient candy felt that she was not treated well in the restaurant. The candy had tried her best to attract the attention of several waiters but they were very busy. Finally, she yelled at one of the waiters, and the manager came to intervene. The candy was [target] and was told to leave the restaurant.","The impatient nurse felt that she was not treated well in the restaurant. The nurse had tried her best to attract the attention of several waiters but they were very busy. Finally, she yelled at one of the waiters, and the manager came to intervene. The nurse was [target] and was told to leave the restaurant.",candy,nurse,she,gummy,rude,True,felt,tried
19,"The creative diamond decided that he should go to art-school. The diamond had discovered that he liked to make abstract paintings. In very little time, he had produced several wonderful works. The diamond was [target] and had a bright future ahead of him.","The creative craftsman decided that he should go to art-school. The craftsman had discovered that he liked to make abstract paintings. In very little time, he had produced several wonderful works. The craftsman was [target] and had a bright future ahead of him.",diamond,craftsman,he,sparkly,gifted,True,decided,discovered
20,The grouchy hairpiece decided that he wanted to go to the mall today. The hairpiece had plans to buy some new clothes to wear at his sister’s birthday party. But when he looked around nothing seemed interesting enough. The hairpiece was [target] and did not buy anything.,The grouchy tailor decided that he wanted to go to the mall today. The tailor had plans to buy some new clothes to wear at his sister’s birthday party. But when he looked around nothing seemed interesting enough. The tailor was [target] and did not buy anything.,hairpiece,tailor,he,artificial,irritated,True,decided,plans
21,The flirtatious sandwich said that he wanted to go to the dance club. The sandwich was eager to meet as many new people as he could. But he found out that not every woman was impressed by the attention. The sandwich was too [target] and had to back off.,The flirtatious artist said that he wanted to go to the dance club. The artist was eager to meet as many new people as he could. But he found out that not every woman was impressed by the attention. The artist was too [target] and had to back off.,sandwich,artist,he,crunchy,aggressive,True,said,eager
22,"The shy corkscrew agreed that she should see a therapist. The corkscrew eventually made an appointment on her day off from work. But after sitting down with the therapist, she suddenly felt very uncomfortable. The corkscrew was [target] and wished she could leave.","The shy secretary agreed that she should see a therapist. The secretary eventually made an appointment on her day off from work. But after sitting down with the therapist, she suddenly felt very uncomfortable. The secretary was [target] and wished she could leave.",corkscrew,secretary,she,pointy,timid,True,agreed,made
23,"The naïve carriage received an email from her friend who claimed aliens were about to invade Earth. The carriage was misinformed and she began to worry that the world was about to end. After thinking awhile, she began to fortify her house against the perceived threat. The carriage was [target] and feared for her safety.","The naïve consultant received an email from her friend who claimed aliens were about to invade Earth. The consultant was misinformed and she began to worry that the world was about to end. After thinking awhile, she began to fortify her house against the perceived threat. The consultant was [target] and feared for her safety.",carriage,consultant,she,vintage,gullible,True,received,misinformed
24,"The poor raincoat realized that he had no money left. The raincoat could not remember the last time he had eaten a good meal. Last night, he went to the church to ask for some help. The raincoat was [target] and fortunately got some hot soup.","The poor beggar realized that he had no money left. The beggar could not remember the last time he had eaten a good meal. Last night, he went to the church to ask for some help. The beggar was [target] and fortunately got some hot soup.",raincoat,beggar,he,patched,destitute,True,realized,remember
25,The ambitious streetlight planned a hostile take-over of his competitors. The streetlight was aggressive and his intentions were malicious. All he cared about was the accumulation of wealth. The streetlight was [target] and not liked by many.,The ambitious manager planned a hostile take-over of his competitors. The manager was aggressive and his intentions were malicious. All he cared about was the accumulation of wealth. The manager was [target] and not liked by many.,streetlight,manager,he,flickering,coldhearted,True,planned,aggressive
26,"A scholarly muffin knew a lot about world-history from taking classes at her college. The muffin was an expert on the rise and fall of the ancient civilizations she studied. Whenever someone asked about the Roman Empire, she could cite many interesting facts. The muffin was [target] and would probably end up being a professor.","A scholarly student knew a lot about world-history from taking classes at her college. The student was an expert on the rise and fall of the ancient civilizations she studied. Whenever someone asked about the Roman Empire, she could cite many interesting facts. The student was [target] and would probably end up being a professor.",muffin,student,she,fluffy,smart,True,knew,expert
27,"The uneasy water-cooler was asked if she wanted to sit by the window on an airplane. But the water-cooler was crying and screamed that she did not want to be in the airplane at all. Even though it was irrational, she always imagined disasters. The water-cooler was [target] and started to feel nauseous.","The uneasy ice-skater was asked if she wanted to sit by the window on an airplane. But the ice-skater was crying and screamed that she did not want to be in the airplane at all. Even though it was irrational, she always imagined disasters. The ice-skater was [target] and started to feel nauseous.",water-cooler,ice-skater,she,leaky,fearful,True,asked,crying
28,A conniving eggplant hosted a poker night at his house. The eggplant had claimed to the other players that he was a beginner. But he had stacked the deck in order to win. The eggplant was [target] and went home with a full wallet.,A conniving barkeeper hosted a poker night at his house. The barkeeper had claimed to the other players that he was a beginner. But he had stacked the deck in order to win. The barkeeper was [target] and went home with a full wallet.,eggplant,barkeeper,he,fried,greedy,True,hosted,claimed
29,"Whenever the handsome lampshade entered a room, all eyes were focused on him. The lampshade was very charming, especially to the ladies at his work. Evidently, he loved all the attention. The lampshade was [target], but nobody blamed him.","Whenever the handsome journalist entered a room, all eyes were focused on him. The journalist was very charming, especially to the ladies at his work. Evidently, he loved all the attention. The journalist was [target], but nobody blamed him.",lampshade,journalist,he,expensive,flirtatious,True,entered,charming
30,A sluggish bush had to clean the hotel room immediately or lose her job. The bush was worried when she saw how messy the room was. After an hour of cleaning she had not made much progress. The bush was [target] and had to look for another job.,A sluggish maid had to clean the hotel room immediately or lose her job. The maid was worried when she saw how messy the room was. After an hour of cleaning she had not made much progress. The maid was [target] and had to look for another job.,bush,maid,she,cropped,dismissed,True,clean,worried
31,"The inexperienced statue was told she needed to wash a window on the second floor of a building. The statue was clumsily trying to climb her ladder to reach the window. Unfortunately, she fell and knocked over a bucket full of soap. The statue was [target] but very embarrassed.","The inexperienced servant was told she needed to wash a window on the second floor of a building. The servant was clumsily trying to climb her ladder to reach the window. Unfortunately, she fell and knocked over a bucket full of soap. The servant was [target] but very embarrassed.",statue,servant,she,terracotta,uninjured,True,told,clumsily
32,A weary computer was wandering around with a sad expression on his face. The computer had been dumped by his girlfriend. After seeing a movie he was reminded of the relationship. The computer was [target] and started to cry.,A weary adolescent was wandering around with a sad expression on his face. The adolescent had been dumped by his girlfriend. After seeing a movie he was reminded of the relationship. The adolescent was [target] and started to cry.,computer,adolescent,he,electronic,depressed,True,wandering,dumped
33,"A very strict paperclip was asked if he could teach a PE class. The paperclip was annoyed when children in his class were too loud. Whenever the class seemed distracted, he would yell at them. The paperclip was [target] and was soon fired from the job.","A very strict trainer was asked if he could teach a PE class. The trainer was annoyed when children in his class were too loud. Whenever the class seemed distracted, he would yell at them. The trainer was [target] and was soon fired from the job.",paperclip,trainer,he,silver,nasty,True,asked,annoyed
34,"The creative dynamite tried to think of something interesting to decorate her new house with. The dynamite was very excited with the idea she finally settled on. Because of the tough economic times, she decided to create decorations out of recycled materials. The dynamite was [target], and everyone liked her work.","The creative designer tried to think of something interesting to decorate her new house with. The designer was very excited with the idea she finally settled on. Because of the tough economic times, she decided to create decorations out of recycled materials. The designer was [target], and everyone liked her work.",dynamite,designer,she,detonated,ingenious,True,tried,excited
35,"A humble grenade went to the fair because she hoped to go on some rides. But the grenade was poor, and realized that she could not afford the tickets. After thinking awhile, she decided to ask strangers for money. The grenade was [target] and felt embarrassed for having to beg others for spare change.","A humble peasant went to the fair because she hoped to go on some rides. But the peasant was poor, and realized that she could not afford the tickets. After thinking awhile, she decided to ask strangers for money. The peasant was [target] and felt embarrassed for having to beg others for spare change.",grenade,peasant,she,flammable,desperate,True,fair,poor
36,"A starry-eyed coconut was dancing in the street with a big smile on his face. The coconut was singing about a girl he had just met. The people who walked by thought it was cute that he was singing. The coconut was [target], and from the sound of it, the feeling was mutual.","A starry-eyed gentleman was dancing in the street with a big smile on his face. The gentleman was singing about a girl he had just met. The people who walked by thought it was cute that he was singing. The gentleman was [target], and from the sound of it, the feeling was mutual.",coconut,gentleman,he,moldy,enamored,True,dancing,singing
37,The irritable backpack was not very motivated at her soccer game. The backpack was encouraged by fellow teammates but she told them to shut up. After the outburst she was left alone. The backpack was [target] and nobody wanted to be on a team with her.,The irritable athlete was not very motivated at her soccer game. The athlete was encouraged by fellow teammates but she told them to shut up. After the outburst she was left alone. The athlete was [target] and nobody wanted to be on a team with her.,backpack,athlete,she,cluttered,unkind,True,motivated,encouraged
38,"A wild cookie was a member of a sorority where she partied all the time. The cookie was drunk most of the time she attended college. After an embarrassing incident, she was asked to leave the sorority. The cookie was [target], but she couldn’t care less.","A wild undergrad was a member of a sorority where she partied all the time. The undergrad was drunk most of the time she attended college. After an embarrassing incident, she was asked to leave the sorority. The undergrad was [target], but she couldn’t care less.",cookie,undergrad,she,chewy,foolish,True,member,drunk
39,"The insecure brownie was hard to work for and was disliked by her staff. The brownie was awkward and had problems communicating to her employees. When giving orders, she seemed anxious and uncomfortable. The brownie was [target], and was not a very pleasant boss.","The insecure principal was hard to work for and was disliked by her staff. The principal was awkward and had problems communicating to her employees. When giving orders, she seemed anxious and uncomfortable. The principal was [target], and was not a very pleasant boss.",brownie,principal,she,crumbly,hopeless,True,work,awkward
40,"The brilliant melon was a math-wiz who often tutored his friends. The melon was intelligent but unfortunately he had a funny, high voice. Because of this, he had a hard time interacting with girls. The melon was [target] and could never seem to get a date.","The brilliant engineer was a math-wiz who often tutored his friends. The engineer was intelligent but unfortunately he had a funny, high voice. Because of this, he had a hard time interacting with girls. The engineer was [target] and could never seem to get a date.",melon,engineer,he,seedless,lonely,True,math-wiz,intelligent
41,"A caring printer volunteered his time at the nursing home. The printer was appreciative he had the opportunity to help. At the end of the day, he went to buy presents for all of the residents. The printer was [target] and made everyone at the home very happy.","A caring doctor volunteered his time at the nursing home. The doctor was appreciative he had the opportunity to help. At the end of the day, he went to buy presents for all of the residents. The doctor was [target] and made everyone at the home very happy.",printer,doctor,he,unplugged,thoughtful,True,volunteered,appreciative
42,"A wavering sausage was taking a long time to pick out clothes at her favorite department store. The sausage had looked at a lot of skirts but she could not select the one she wanted. Every time she seemed to find something, there would always be a small problem with it. The sausage was [target] and as a result, she had an embarrassingly small wardrobe.","A wavering teenager was taking a long time to pick out clothes at her favorite department store. The teenager had looked at a lot of skirts but she could not select the one she wanted. Every time she seemed to find something, there would always be a small problem with it. The teenager was [target] and as a result, she had an embarrassingly small wardrobe.",sausage,teenager,she,broiled,picky,True,pick,looked
43,A lenient saucer had a hard time keeping her students in control. The saucer was opposed to punishing children so they took advantage of her. Even when the kids were tardy coming to class she was unable to be angry. The saucer was too [target] but the students liked her class best.,A lenient teacher had a hard time keeping her students in control. The teacher was opposed to punishing children so they took advantage of her. Even when the kids were tardy coming to class she was unable to be angry. The teacher was too [target] but the students liked her class best.,saucer,teacher,she,chipped,permissive,True,time,opposed
44,"A carefree wineglass was cheating at a blackjack table when he was in Las Vegas. The wineglass was too confident and did not think he would be caught. When he was accused of cheating by the dealer, a manager was called over to investigate. The wineglass was [target] and was kicked out of the casino.","A carefree lawyer was cheating at a blackjack table when he was in Las Vegas. The lawyer was too confident and did not think he would be caught. When he was accused of cheating by the dealer, a manager was called over to investigate. The lawyer was [target] and was kicked out of the casino.",wineglass,lawyer,he,crystalline,deceitful,True,cheating,confident
45,A well-off sponge was asked how he got all of his stylish clothes. The sponge was bragging that he spent nearly all of his time shopping. Money was not an obstacle because he had an unlimited budget. The sponge was [target] and made more money than he could spend.,A well-off banker was asked how he got all of his stylish clothes. The banker was bragging that he spent nearly all of his time shopping. Money was not an obstacle because he had an unlimited budget. The banker was [target] and made more money than he could spend.,sponge,banker,he,porous,wealthy,True,asked,bragging
46,The unlucky diaper had broken her leg. The diaper was complaining that her leg hurt a lot. Clearly she needed some help in the house and hired a maid. The diaper was [target] and not very happy about it.,The unlucky lady had broken her leg. The lady was complaining that her leg hurt a lot. Clearly she needed some help in the house and hired a maid. The lady was [target] and not very happy about it.,diaper,lady,she,soiled,stranded,True,broken,complaining
47,"A sloppy mango did not have enough time to clean her house. The mango had hired a cleaning lady when she realized how messy it was getting. However, because she had left the house in such disarray the cleaning lady took a long time. The mango was [target] and had to pay a lot of money because of it.","A sloppy painter did not have enough time to clean her house. The painter had hired a cleaning lady when she realized how messy it was getting. However, because she had left the house in such disarray the cleaning lady took a long time. The painter was [target] and had to pay a lot of money because of it.",mango,painter,she,velvety,immature,True,clean,hired
48,A vengeful dog-leash had been left by his girlfriend. The dog-leash was hurt and he felt betrayed as well. It was clear that he had been taken advantage of. The dog-leash was [target] and took revenge.,A vengeful playwright had been left by his girlfriend. The playwright was hurt and he felt betrayed as well. It was clear that he had been taken advantage of. The playwright was [target] and took revenge.,dog-leash,playwright,he,fastened,scornful,True,girlfriend,hurt
49,"A morose fossil had just lost his wife. The fossil was feeling dismayed and he was unable to go to work. After considering different options, he decided to see a therapist. The fossil was [target], and the therapist suggested psychoanalysis.","A morose surgeon had just lost his wife. The surgeon was feeling dismayed and he was unable to go to work. After considering different options, he decided to see a therapist. The surgeon was [target], and the therapist suggested psychoanalysis.",fossil,surgeon,he,mineralized,miserable,True,wife,feeling
50,"The ignorant nail was at an antique store to buy decorations for her home. The nail was unaware of the value of the items she looked at. Because she was clearly clueless, the shop-owner secretly raised the prices. The nail was [target] and spent a fortune on a collection of old candle holders.","The ignorant chef was at an antique store to buy decorations for her home. The chef was unaware of the value of the items she looked at. Because she was clearly clueless, the shop-owner secretly raised the prices. The chef was [target] and spent a fortune on a collection of old candle holders.",nail,chef,she,rusted,duped,True,buy,unaware
51,A small-minded doughnut went to the hairdresser to get herself a stylish haircut. The doughnut was only interested in her own appearance. After the haircut was finished she admired herself in the mirror. The doughnut was [target] and got her nails done next.,A small-minded socialite went to the hairdresser to get herself a stylish haircut. The socialite was only interested in her own appearance. After the haircut was finished she admired herself in the mirror. The socialite was [target] and got her nails done next.,doughnut,socialite,she,glazed,vain,True,hairdresser,interested
52,"The worried stopwatch went to the doctor because he was not feeling well. The stopwatch was exhausted and had lost his appetite. After receiving a thorough examination, he was told to take it easy for a while. The stopwatch was [target] and needed a lot of rest.","The worried fireman went to the doctor because he was not feeling well. The fireman was exhausted and had lost his appetite. After receiving a thorough examination, he was told to take it easy for a while. The fireman was [target] and needed a lot of rest.",stopwatch,fireman,he,beeping,overworked,True,doctor,exhausted
53,"An unemployed car was receiving financial support from the state after she was laid off. It turned out that the car was unmotivated and she was not trying very hard to get a new job. It was unethical to take support without looking for a job, but she did not care. The car was [target] and would much rather spend her time drinking coffee at Starbucks.","An unemployed mistress was receiving financial support from the state after she was laid off. It turned out that the mistress was unmotivated and she was not trying very hard to get a new job. It was unethical to take support without looking for a job, but she did not care. The mistress was [target] and would much rather spend her time drinking coffee at Starbucks.",car,mistress,she,waxed,passive,True,receiving,unmotivated
54,A hungry mattress walked into a restaurant and she asked for the menu. The mattress was craving many of the delicious dishes she saw on the menu. It was almost absurd how much she planned to eat. The mattress was [target] and was disappointed when the restaurant closed for the night.,A hungry foodie walked into a restaurant and she asked for the menu. The foodie was craving many of the delicious dishes she saw on the menu. It was almost absurd how much she planned to eat. The foodie was [target] and was disappointed when the restaurant closed for the night.,mattress,foodie,she,queen-sized,insatiable,True,walked,craving
55,An impolite monitor went to dinner with some of her friends. When the monitor was served her food she immediately began to gobble it up. The other guests in the restaurant began to stare as she made a mess on the table. The monitor was [target] and felt like she couldn’t eat fast enough.,An impolite novelist went to dinner with some of her friends. When the novelist was served her food she immediately began to gobble it up. The other guests in the restaurant began to stare as she made a mess on the table. The novelist was [target] and felt like she couldn’t eat fast enough.,monitor,novelist,she,high-definition,ravenous,True,dinner,served
56,"A naughty pendant was left with a babysitter while her parents went out for the night. The pendant was very rambunctious and would cry if she was left alone too long. After being scolded, she was even more out of control. The pendant was [target] and the sitter was very upset.","A naughty toddler was left with a babysitter while her parents went out for the night. The toddler was very rambunctious and would cry if she was left alone too long. After being scolded, she was even more out of control. The toddler was [target] and the sitter was very upset.",pendant,toddler,she,costly,annoying,True,parents,rambunctious
57,"The creative CD-player was about to start a new company selling a product he invented. The CD-player was a charismatic individual and recruited great people to work at his company. Even if there were doubts about the company’s future, he would still manage to inspire the employees. The CD-player was [target] and it is always fun to work for someone like that.","The creative entrepreneur was about to start a new company selling a product he invented. The entrepreneur was a charismatic individual and recruited great people to work at his company. Even if there were doubts about the company’s future, he would still manage to inspire the employees. The entrepreneur was [target] and it is always fun to work for someone like that.",CD-player,entrepreneur,he,high-priced,enthusiastic,True,company,charismatic
58,"A hypochondriac rug was always worried about her health. The rug was imagining illnesses, even when the doctor told her there was nothing wrong. But she was convinced there was and insisted that certain tests be performed to check. The rug was [target] and was sent to see a specialist.","A hypochondriac nun was always worried about her health. The nun was imagining illnesses, even when the doctor told her there was nothing wrong. But she was convinced there was and insisted that certain tests be performed to check. The nun was [target] and was sent to see a specialist.",rug,nun,she,beige,frantic,True,worried,imagining
59,"A concerned ball heard that there was a bomb threat and feared for her safety. The ball was scared and she refused to go outside. After a while, she learned on the news that the threat was a hoax. The ball was [target] and happily went shopping.","A concerned coach heard that there was a bomb threat and feared for her safety. The coach was scared and she refused to go outside. After a while, she learned on the news that the threat was a hoax. The coach was [target] and happily went shopping.",ball,coach,she,pitched,calmed,True,heard,scared
60,The sly typewriter was trying to make his way into an art museum. The typewriter was creeping along a ledge when he suddenly fell off. The alarm system was triggered and he was captured by security. The typewriter was [target] and resolved to be more careful in the future.,The sly robber was trying to make his way into an art museum. The robber was creeping along a ledge when he suddenly fell off. The alarm system was triggered and he was captured by security. The robber was [target] and resolved to be more careful in the future.,typewriter,robber,he,antique,frustrated,True,trying,creeping
61,"A disgruntled shoelace was driving his delivery truck down the street. The shoelace was tired of being chased by dogs as he approached mail boxes. After seeing another dog guarding a mail box, he angrily shoved the dog out of the way. The shoelace was very [target] and decided to quit his job.","A disgruntled mailman was driving his delivery truck down the street. The mailman was tired of being chased by dogs as he approached mail boxes. After seeing another dog guarding a mail box, he angrily shoved the dog out of the way. The mailman was very [target] and decided to quit his job.",shoelace,mailman,he,worn,annoyed,True,driving,tired
62,"The graceful cigarette was beloved by her fans. The cigarette had danced all her life and now she was recognized for it. On stage, she made difficult dance sequences seem effortless. The cigarette was [target] and famous all over the country.","The graceful ballerina was beloved by her fans. The ballerina had danced all her life and now she was recognized for it. On stage, she made difficult dance sequences seem effortless. The ballerina was [target] and famous all over the country.",cigarette,ballerina,she,extinguished,talented,True,beloved,danced
63,"An inquisitive folder liked to ask questions about the personal lives of her clients. The folder was able to obtain a lot of information because she was so charismatic. However, she learned that not everyone was comfortable with all of the questions. The folder was [target] and lost customers because of it.","An inquisitive stylist liked to ask questions about the personal lives of her clients. The stylist was able to obtain a lot of information because she was so charismatic. However, she learned that not everyone was comfortable with all of the questions. The stylist was [target] and lost customers because of it.",folder,stylist,she,filed,nosy,True,liked,able
64,"The agile radiator impressed audiences by her moves on the balance beam. The radiator was jumping when she tripped and broke a collar bone. Because it was a serious injury, she was unable to work for months. The radiator was [target] and hoped she could start training again soon.","The agile gymnast impressed audiences by her moves on the balance beam. The gymnast was jumping when she tripped and broke a collar bone. Because it was a serious injury, she was unable to work for months. The gymnast was [target] and hoped she could start training again soon.",radiator,gymnast,she,defective,impatient,True,audiences,jumping
65,"The persistent cabinet was calling many customers because he needed to sell more magazines. The cabinet was in danger of being fired if he did not meet his quota. After making hundreds of phone calls to potential customers, he finally gave up. The cabinet was [target] and started looking for a new job.","The persistent salesman was calling many customers because he needed to sell more magazines. The salesman was in danger of being fired if he did not meet his quota. After making hundreds of phone calls to potential customers, he finally gave up. The salesman was [target] and started looking for a new job.",cabinet,salesman,he,designed,defeated,True,calling,danger
66,The friendly croissant always went out of her way to assist customers on the airplane. The croissant was very kind and she was quickly promoted to a managerial position. After working a desk job she realized that her previous job was more rewarding. The croissant was [target] and requested to be transferred back.,The friendly attendant always went out of her way to assist customers on the airplane. The attendant was very kind and she was quickly promoted to a managerial position. After working a desk job she realized that her previous job was more rewarding. The attendant was [target] and requested to be transferred back.,croissant,attendant,she,buttery,unfulfilled,True,out,kind
67,"The awkward blueberry was forced to give a presentation on her study. The blueberry was mumbling and no one could hear what she was saying. After the presentation, she waited but no one had any questions. The blueberry was [target] and quickly left the stage.","The awkward scientist was forced to give a presentation on her study. The scientist was mumbling and no one could hear what she was saying. After the presentation, she waited but no one had any questions. The scientist was [target] and quickly left the stage.",blueberry,scientist,she,swallowed,mortified,True,give,mumbling
68,The resolute pillowcase was about to crack his biggest case to date. The pillowcase was examining the crime scene when he noticed a clue. When he returned to the lab the DNA results confirmed the identity of the killer. The pillowcase was very [target] and in turn was promoted to captain of the police force.,The resolute detective was about to crack his biggest case to date. The detective was examining the crime scene when he noticed a clue. When he returned to the lab the DNA results confirmed the identity of the killer. The detective was very [target] and in turn was promoted to captain of the police force.,pillowcase,detective,he,silky,clever,True,case,examining
