noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
shield,woman,shaved,HIGH,physical,The woman was very,The shield was very,The woman shaved and was very,The shield fell and was very,The shield shaved and was very,2,ADJ
electron,girl,snarled,HIGH,psychological,The girl was very,The electron was very,The girl snarled and was very,The electron fell and was very,The electron snarled and was very,2,ADJ
plane,person,insisted,HIGH-MID,psychological,The person was very,The plane was very,The person insisted and was very,The plane fell and was very,The plane insisted and was very,2,ADJ
stage,man,retired,HIGH,psychological,The man became very,The stage became very,The man retired and became very,The stage fell and became very,The stage retired and became very,3,ADJ
key,girl,watched,HIGH,physical,The girl became very,The key became very,The girl watched and became very,The key fell and became very,The key watched and became very,3,ADJ
chisel,woman,fainted,HIGH,physical,The woman was very,The chisel was very,The woman fainted and was very,The chisel fell and was very,The chisel fainted and was very,2,ADJ
boat,man,searched,HIGH-MID,psychological,The man was very,The boat was very,The man searched and was very,The boat fell and was very,The boat searched and was very,2,ADJ
van,person,shivered,HIGH,physical,The person started to,The van started to,The person shivered and started to,The van fell and started to,The van shivered and started to,1,VERB
seed,person,hastened,HIGH-MID,psychological,The person began to,The seed began to,The person hastened and began to,The seed fell and began to,The seed hastened and began to,0,VERB
road,child,glared,HIGH,physical,The child began to,The road began to,The child glared and began to,The road fell and began to,The road glared and began to,0,VERB
bed,person,evacuated,HIGH-MID,psychological,The person began to,The bed began to,The person evacuated and began to,The bed fell and began to,The bed evacuated and began to,0,VERB
sleigh,man,omitted,HIGH,physical,The man began to,The sleigh began to,The man omitted and began to,The sleigh fell and began to,The sleigh omitted and began to,0,VERB
cart,girl,waited,HIGH,psychological,The girl began to,The cart began to,The girl waited and began to,The cart fell and began to,The cart waited and began to,0,VERB
ball,woman,recovered,HIGH-MID,physical,The woman was very,The ball was very,The woman recovered and was very,The ball fell and was very,The ball recovered and was very,2,ADJ
limousine,man,slept,HIGH,physical,The man became very,The limousine became very,The man slept and became very,The limousine fell and became very,The limousine slept and became very,3,ADJ
helmet,child,chuckled,HIGH,physical,The child became very,The helmet became very,The child chuckled and became very,The helmet fell and became very,The helmet chuckled and became very,3,ADJ
sword,woman,voted,MID,psychological,The woman was very,The sword was very,The woman voted and was very,The sword fell and was very,The sword voted and was very,2,ADJ
photograph,girl,applauded,HIGH-MID,psychological,The girl became very,The photograph became very,The girl applauded and became very,The photograph fell and became very,The photograph applauded and became very,3,ADJ
vehicle,child,graduated,HIGH-MID,psychological,The child began to,The vehicle began to,The child graduated and began to,The vehicle fell and began to,The vehicle graduated and began to,0,VERB
glass,girl,dreamed,HIGH,psychological,The girl started to,The glass started to,The girl dreamed and started to,The glass fell and started to,The glass dreamed and started to,1,VERB
kilt,boy,frowned,HIGH,physical,The boy was very,The kilt was very,The boy frowned and was very,The kilt fell and was very,The kilt frowned and was very,2,ADJ
tub,child,groaned,HIGH,psychological,The child began to,The tub began to,The child groaned and began to,The tub fell and began to,The tub groaned and began to,0,VERB
shoe,girl,worried,HIGH-MID,psychological,The girl was very,The shoe was very,The girl worried and was very,The shoe fell and was very,The shoe worried and was very,2,ADJ
chair,boy,panted,HIGH,physical,The boy began to,The chair began to,The boy panted and began to,The chair fell and began to,The chair panted and began to,0,VERB
lantern,man,stumbled,HIGH,physical,The man started to,The lantern started to,The man stumbled and started to,The lantern fell and started to,The lantern stumbled and started to,1,VERB
sword,child,evacuated,HIGH-MID,psychological,The child began to,The sword began to,The child evacuated and began to,The sword fell and began to,The sword evacuated and began to,0,VERB
button,woman,muttered,HIGH,physical,The woman was very,The button was very,The woman muttered and was very,The button fell and was very,The button muttered and was very,2,ADJ
amplifier,woman,nodded,HIGH,physical,The woman started to,The amplifier started to,The woman nodded and started to,The amplifier fell and started to,The amplifier nodded and started to,1,VERB
horn,woman,protested,HIGH,psychological,The woman began to,The horn began to,The woman protested and began to,The horn fell and began to,The horn protested and began to,0,VERB
automobile,person,dined,HIGH,physical,The person started to,The automobile started to,The person dined and started to,The automobile fell and started to,The automobile dined and started to,1,VERB
chocolate,girl,limped,HIGH-MID,physical,The girl was very,The chocolate was very,The girl limped and was very,The chocolate fell and was very,The chocolate limped and was very,2,ADJ
sandal,woman,registered,MID,psychological,The woman became very,The sandal became very,The woman registered and became very,The sandal fell and became very,The sandal registered and became very,3,ADJ
coffin,child,registered,MID,psychological,The child was very,The coffin was very,The child registered and was very,The coffin fell and was very,The coffin registered and was very,2,ADJ
corpse,boy,understood,HIGH,psychological,The boy began to,The corpse began to,The boy understood and began to,The corpse fell and began to,The corpse understood and began to,0,VERB
bow,child,trotted,HIGH-MID,physical,The child became very,The bow became very,The child trotted and became very,The bow fell and became very,The bow trotted and became very,3,ADJ
instrument,woman,read,HIGH,psychological,The woman began to,The instrument began to,The woman read and began to,The instrument fell and began to,The instrument read and began to,0,VERB
spoon,man,read,HIGH,psychological,The man began to,The spoon began to,The man read and began to,The spoon fell and began to,The spoon read and began to,0,VERB
pants,man,blinked,HIGH,physical,The man began to,The pants began to,The man blinked and began to,The pants fell and began to,The pants blinked and began to,0,VERB
trumpet,child,stumbled,HIGH,physical,The child started to,The trumpet started to,The child stumbled and started to,The trumpet fell and started to,The trumpet stumbled and started to,1,VERB
clarinet,child,spit,HIGH,physical,The child started to,The clarinet started to,The child spit and started to,The clarinet fell and started to,The clarinet spit and started to,1,VERB
uniform,woman,paid,HIGH-MID,psychological,The woman started to,The uniform started to,The woman paid and started to,The uniform fell and started to,The uniform paid and started to,1,VERB
suit,person,swallowed,HIGH,physical,The person became very,The suit became very,The person swallowed and became very,The suit fell and became very,The suit swallowed and became very,3,ADJ
instrument,child,retorted,HIGH,psychological,The child began to,The instrument began to,The child retorted and began to,The instrument fell and began to,The instrument retorted and began to,0,VERB
flask,person,preached,HIGH,psychological,The person began to,The flask began to,The person preached and began to,The flask fell and began to,The flask preached and began to,0,VERB
engine,woman,sobbed,HIGH,physical,The woman was very,The engine was very,The woman sobbed and was very,The engine fell and was very,The engine sobbed and was very,2,ADJ
pillow,boy,preached,HIGH,psychological,The boy started to,The pillow started to,The boy preached and started to,The pillow fell and started to,The pillow preached and started to,1,VERB
shoe,woman,shuddered,HIGH-MID,physical,The woman began to,The shoe began to,The woman shuddered and began to,The shoe fell and began to,The shoe shuddered and began to,0,VERB
submarine,child,snarled,HIGH,psychological,The child became very,The submarine became very,The child snarled and became very,The submarine fell and became very,The submarine snarled and became very,3,ADJ
dress,child,jogged,HIGH-MID,physical,The child was very,The dress was very,The child jogged and was very,The dress fell and was very,The dress jogged and was very,2,ADJ
rug,woman,gulped,HIGH,physical,The woman started to,The rug started to,The woman gulped and started to,The rug fell and started to,The rug gulped and started to,1,VERB
ferry,boy,visited,HIGH,psychological,The boy started to,The ferry started to,The boy visited and started to,The ferry fell and started to,The ferry visited and started to,1,VERB
bubble,woman,walked,HIGH,physical,The woman was very,The bubble was very,The woman walked and was very,The bubble fell and was very,The bubble walked and was very,2,ADJ
cannon,person,hesitated,HIGH,psychological,The person was very,The cannon was very,The person hesitated and was very,The cannon fell and was very,The cannon hesitated and was very,2,ADJ
machine,boy,winked,HIGH-MID,physical,The boy was very,The machine was very,The boy winked and was very,The machine fell and was very,The machine winked and was very,2,ADJ
appliance,child,jumped,HIGH-MID,physical,The child began to,The appliance began to,The child jumped and began to,The appliance fell and began to,The appliance jumped and began to,0,VERB
lamp,child,scowled,HIGH,psychological,The child was very,The lamp was very,The child scowled and was very,The lamp fell and was very,The lamp scowled and was very,2,ADJ
tray,boy,crouched,HIGH,physical,The boy started to,The tray started to,The boy crouched and started to,The tray fell and started to,The tray crouched and started to,1,VERB
bagpipe,woman,sighed,HIGH,physical,The woman began to,The bagpipe began to,The woman sighed and began to,The bagpipe fell and began to,The bagpipe sighed and began to,0,VERB
wagon,person,barked,MID,physical,The person became very,The wagon became very,The person barked and became very,The wagon fell and became very,The wagon barked and became very,3,ADJ
saddle,man,squinted,HIGH,physical,The man started to,The saddle started to,The man squinted and started to,The saddle fell and started to,The saddle squinted and started to,1,VERB
penny,man,recovered,HIGH-MID,physical,The man started to,The penny started to,The man recovered and started to,The penny fell and started to,The penny recovered and started to,1,VERB
key,girl,hesitated,HIGH,psychological,The girl started to,The key started to,The girl hesitated and started to,The key fell and started to,The key hesitated and started to,1,VERB
photograph,girl,visited,HIGH,psychological,The girl started to,The photograph started to,The girl visited and started to,The photograph fell and started to,The photograph visited and started to,1,VERB
television,child,gasped,HIGH,physical,The child began to,The television began to,The child gasped and began to,The television fell and began to,The television gasped and began to,0,VERB
microscope,child,knew,HIGH,psychological,The child began to,The microscope began to,The child knew and began to,The microscope fell and began to,The microscope knew and began to,0,VERB
bouquet,boy,guessed,HIGH,psychological,The boy began to,The bouquet began to,The boy guessed and began to,The bouquet fell and began to,The bouquet guessed and began to,0,VERB
sketch,boy,chose,HIGH,psychological,The boy became very,The sketch became very,The boy chose and became very,The sketch fell and became very,The sketch chose and became very,3,ADJ
photograph,woman,argued,HIGH-MID,psychological,The woman became very,The photograph became very,The woman argued and became very,The photograph fell and became very,The photograph argued and became very,3,ADJ
bucket,boy,painted,HIGH-MID,physical,The boy became very,The bucket became very,The boy painted and became very,The bucket fell and became very,The bucket painted and became very,3,ADJ
twig,child,danced,HIGH-MID,physical,The child started to,The twig started to,The child danced and started to,The twig fell and started to,The twig danced and started to,1,VERB
sandal,person,stepped,HIGH,physical,The person started to,The sandal started to,The person stepped and started to,The sandal fell and started to,The sandal stepped and started to,1,VERB
string,man,swallowed,HIGH,physical,The man was very,The string was very,The man swallowed and was very,The string fell and was very,The string swallowed and was very,2,ADJ
pendulum,person,bathed,HIGH-MID,physical,The person was very,The pendulum was very,The person bathed and was very,The pendulum fell and was very,The pendulum bathed and was very,2,ADJ
door,man,mumbled,HIGH,physical,The man began to,The door began to,The man mumbled and began to,The door fell and began to,The door mumbled and began to,0,VERB
tire,boy,laughed,HIGH,physical,The boy started to,The tire started to,The boy laughed and started to,The tire fell and started to,The tire laughed and started to,1,VERB
rope,man,smiled,HIGH,physical,The man began to,The rope began to,The man smiled and began to,The rope fell and began to,The rope smiled and began to,0,VERB
lens,person,complained,HIGH,psychological,The person became very,The lens became very,The person complained and became very,The lens fell and became very,The lens complained and became very,3,ADJ
bin,person,dozed,HIGH,physical,The person was very,The bin was very,The person dozed and was very,The bin fell and was very,The bin dozed and was very,2,ADJ
pistol,person,grunted,HIGH,physical,The person became very,The pistol became very,The person grunted and became very,The pistol fell and became very,The pistol grunted and became very,3,ADJ
lantern,boy,trotted,HIGH-MID,physical,The boy became very,The lantern became very,The boy trotted and became very,The lantern fell and became very,The lantern trotted and became very,3,ADJ
prune,person,practised,HIGH-MID,psychological,The person became very,The prune became very,The person practised and became very,The prune fell and became very,The prune practised and became very,3,ADJ
column,man,shuddered,HIGH-MID,physical,The man started to,The column started to,The man shuddered and started to,The column fell and started to,The column shuddered and started to,1,VERB
wheel,man,practised,HIGH-MID,psychological,The man started to,The wheel started to,The man practised and started to,The wheel fell and started to,The wheel practised and started to,1,VERB
microscope,man,pissed,HIGH,physical,The man started to,The microscope started to,The man pissed and started to,The microscope fell and started to,The microscope pissed and started to,1,VERB
vest,person,hurried,HIGH,psychological,The person started to,The vest started to,The person hurried and started to,The vest fell and started to,The vest hurried and started to,1,VERB
dress,person,flushed,HIGH-MID,physical,The person was very,The dress was very,The person flushed and was very,The dress fell and was very,The dress flushed and was very,2,ADJ
hat,child,argued,HIGH-MID,psychological,The child started to,The hat started to,The child argued and started to,The hat fell and started to,The hat argued and started to,1,VERB
screen,person,stammered,HIGH,physical,The person became very,The screen became very,The person stammered and became very,The screen fell and became very,The screen stammered and became very,3,ADJ
tub,man,meditated,HIGH,psychological,The man began to,The tub began to,The man meditated and began to,The tub fell and began to,The tub meditated and began to,0,VERB
amplifier,woman,breathed,HIGH,physical,The woman began to,The amplifier began to,The woman breathed and began to,The amplifier fell and began to,The amplifier breathed and began to,0,VERB
table,man,wondered,HIGH,psychological,The man was very,The table was very,The man wondered and was very,The table fell and was very,The table wondered and was very,2,ADJ
painting,girl,talked,HIGH,psychological,The girl started to,The painting started to,The girl talked and started to,The painting fell and started to,The painting talked and started to,1,VERB
rifle,boy,swallowed,HIGH,physical,The boy was very,The rifle was very,The boy swallowed and was very,The rifle fell and was very,The rifle swallowed and was very,2,ADJ
cape,child,guessed,HIGH,psychological,The child became very,The cape became very,The child guessed and became very,The cape fell and became very,The cape guessed and became very,3,ADJ
telescope,person,dined,HIGH,physical,The person was very,The telescope was very,The person dined and was very,The telescope fell and was very,The telescope dined and was very,2,ADJ
dart,man,conceded,HIGH-MID,psychological,The man began to,The dart began to,The man conceded and began to,The dart fell and began to,The dart conceded and began to,0,VERB
record,girl,drowned,HIGH-MID,physical,The girl started to,The record started to,The girl drowned and started to,The record fell and started to,The record drowned and started to,1,VERB
mine,man,leaned,HIGH,physical,The man was very,The mine was very,The man leaned and was very,The mine fell and was very,The mine leaned and was very,2,ADJ
yacht,girl,sneered,HIGH,psychological,The girl became very,The yacht became very,The girl sneered and became very,The yacht fell and became very,The yacht sneered and became very,3,ADJ
tie,person,omitted,HIGH,physical,The person was very,The tie was very,The person omitted and was very,The tie fell and was very,The tie omitted and was very,2,ADJ
jacket,man,prayed,HIGH,psychological,The man began to,The jacket began to,The man prayed and began to,The jacket fell and began to,The jacket prayed and began to,0,VERB
pants,child,spoke,HIGH,psychological,The child was very,The pants was very,The child spoke and was very,The pants fell and was very,The pants spoke and was very,2,ADJ
tank,man,sniffed,HIGH,physical,The man began to,The tank began to,The man sniffed and began to,The tank fell and began to,The tank sniffed and began to,0,VERB
map,girl,fled,HIGH-MID,physical,The girl was very,The map was very,The girl fled and was very,The map fell and was very,The map fled and was very,2,ADJ
twig,child,stepped,HIGH,physical,The child started to,The twig started to,The child stepped and started to,The twig fell and started to,The twig stepped and started to,1,VERB
stand,person,walked,HIGH,physical,The person was very,The stand was very,The person walked and was very,The stand fell and was very,The stand walked and was very,2,ADJ
dagger,man,suspected,HIGH,psychological,The man was very,The dagger was very,The man suspected and was very,The dagger fell and was very,The dagger suspected and was very,2,ADJ
television,person,fainted,HIGH,physical,The person started to,The television started to,The person fainted and started to,The television fell and started to,The television fainted and started to,1,VERB
chair,woman,prayed,HIGH,psychological,The woman was very,The chair was very,The woman prayed and was very,The chair fell and was very,The chair prayed and was very,2,ADJ
bottle,boy,showered,HIGH-MID,physical,The boy started to,The bottle started to,The boy showered and started to,The bottle fell and started to,The bottle showered and started to,1,VERB
tray,boy,panicked,HIGH,psychological,The boy began to,The tray began to,The boy panicked and began to,The tray fell and began to,The tray panicked and began to,0,VERB
glove,woman,objected,HIGH-MID,psychological,The woman was very,The glove was very,The woman objected and was very,The glove fell and was very,The glove objected and was very,2,ADJ
hairpin,person,invested,MID,psychological,The person became very,The hairpin became very,The person invested and became very,The hairpin fell and became very,The hairpin invested and became very,3,ADJ
stone,person,shrugged,HIGH,physical,The person started to,The stone started to,The person shrugged and started to,The stone fell and started to,The stone shrugged and started to,1,VERB
clothing,woman,danced,HIGH-MID,physical,The woman started to,The clothing started to,The woman danced and started to,The clothing fell and started to,The clothing danced and started to,1,VERB
keg,boy,talked,HIGH,psychological,The boy was very,The keg was very,The boy talked and was very,The keg fell and was very,The keg talked and was very,2,ADJ
ferry,woman,blinked,HIGH,physical,The woman became very,The ferry became very,The woman blinked and became very,The ferry fell and became very,The ferry blinked and became very,3,ADJ
glove,child,saluted,HIGH,psychological,The child became very,The glove became very,The child saluted and became very,The glove fell and became very,The glove saluted and became very,3,ADJ
stand,man,argued,HIGH-MID,psychological,The man began to,The stand began to,The man argued and began to,The stand fell and began to,The stand argued and began to,0,VERB
thread,person,scowled,HIGH,psychological,The person was very,The thread was very,The person scowled and was very,The thread fell and was very,The thread scowled and was very,2,ADJ
prune,child,bowed,HIGH-MID,physical,The child was very,The prune was very,The child bowed and was very,The prune fell and was very,The prune bowed and was very,2,ADJ
collar,woman,listened,HIGH,physical,The woman became very,The collar became very,The woman listened and became very,The collar fell and became very,The collar listened and became very,3,ADJ
key,boy,howled,MID,physical,The boy was very,The key was very,The boy howled and was very,The key fell and was very,The key howled and was very,2,ADJ
newspaper,person,practised,HIGH-MID,psychological,The person started to,The newspaper started to,The person practised and started to,The newspaper fell and started to,The newspaper practised and started to,1,VERB
biscuit,person,evacuated,HIGH-MID,psychological,The person began to,The biscuit began to,The person evacuated and began to,The biscuit fell and began to,The biscuit evacuated and began to,0,VERB
cannon,man,limped,HIGH-MID,physical,The man began to,The cannon began to,The man limped and began to,The cannon fell and began to,The cannon limped and began to,0,VERB
cape,woman,jogged,HIGH-MID,physical,The woman was very,The cape was very,The woman jogged and was very,The cape fell and was very,The cape jogged and was very,2,ADJ
sandal,man,wailed,HIGH,physical,The man began to,The sandal began to,The man wailed and began to,The sandal fell and began to,The sandal wailed and began to,0,VERB
bread,person,groaned,HIGH,psychological,The person became very,The bread became very,The person groaned and became very,The bread fell and became very,The bread groaned and became very,3,ADJ
umbrella,girl,commented,HIGH-MID,psychological,The girl was very,The umbrella was very,The girl commented and was very,The umbrella fell and was very,The umbrella commented and was very,2,ADJ
bomb,boy,replied,HIGH,psychological,The boy became very,The bomb became very,The boy replied and became very,The bomb fell and became very,The bomb replied and became very,3,ADJ
aircraft,boy,drawled,HIGH,physical,The boy began to,The aircraft began to,The boy drawled and began to,The aircraft fell and began to,The aircraft drawled and began to,0,VERB
saddle,boy,sneered,HIGH,psychological,The boy started to,The saddle started to,The boy sneered and started to,The saddle fell and started to,The saddle sneered and started to,1,VERB
ring,girl,laughed,HIGH,physical,The girl started to,The ring started to,The girl laughed and started to,The ring fell and started to,The ring laughed and started to,1,VERB
road,woman,disagreed,HIGH-MID,psychological,The woman started to,The road started to,The woman disagreed and started to,The road fell and started to,The road disagreed and started to,1,VERB
spoon,woman,stared,HIGH,physical,The woman began to,The spoon began to,The woman stared and began to,The spoon fell and began to,The spoon stared and began to,0,VERB
bandage,child,thought,HIGH,psychological,The child started to,The bandage started to,The child thought and started to,The bandage fell and started to,The bandage thought and started to,1,VERB
bullet,person,limped,HIGH-MID,physical,The person was very,The bullet was very,The person limped and was very,The bullet fell and was very,The bullet limped and was very,2,ADJ
bed,girl,flinched,HIGH,physical,The girl began to,The bed began to,The girl flinched and began to,The bed fell and began to,The bed flinched and began to,0,VERB
universe,man,limped,HIGH-MID,physical,The man started to,The universe started to,The man limped and started to,The universe fell and started to,The universe limped and started to,1,VERB
piano,boy,talked,HIGH,psychological,The boy started to,The piano started to,The boy talked and started to,The piano fell and started to,The piano talked and started to,1,VERB
harp,girl,yelled,HIGH,physical,The girl began to,The harp began to,The girl yelled and began to,The harp fell and began to,The harp yelled and began to,0,VERB
desk,man,fumbled,HIGH,physical,The man was very,The desk was very,The man fumbled and was very,The desk fell and was very,The desk fumbled and was very,2,ADJ
pot,person,answered,HIGH,psychological,The person began to,The pot began to,The person answered and began to,The pot fell and began to,The pot answered and began to,0,VERB
candy,woman,yawned,HIGH,physical,The woman was very,The candy was very,The woman yawned and was very,The candy fell and was very,The candy yawned and was very,2,ADJ
horn,woman,stared,HIGH,physical,The woman began to,The horn began to,The woman stared and began to,The horn fell and began to,The horn stared and began to,0,VERB
key,girl,hurried,HIGH,psychological,The girl became very,The key became very,The girl hurried and became very,The key fell and became very,The key hurried and became very,3,ADJ
table,boy,dreamed,HIGH,psychological,The boy began to,The table began to,The boy dreamed and began to,The table fell and began to,The table dreamed and began to,0,VERB
