noun,human,verb,verb_frequency,verb_category,animate_no_context,inanimate_no_context,animate_context,inanimate_context,experimental,prompt_id,prompt_type
dish,scientist,muttered,HIGH,physical,The scientist was very,The dish was very,The scientist muttered and was very,The dish fell and was very,The dish muttered and was very,2,ADJ
quilt,butcher,nodded,HIGH,physical,The butcher started to,The quilt started to,The butcher nodded and started to,The quilt fell and started to,The quilt nodded and started to,1,VERB
saddle,chief of staff,protested,HIGH,psychological,The chief of staff began to,The saddle began to,The chief of staff protested and began to,The saddle fell and began to,The saddle protested and began to,0,VERB
necklace,major general,dined,HIGH,physical,The major general started to,The necklace started to,The major general dined and started to,The necklace fell and started to,The necklace dined and started to,1,VERB
missile,producer,limped,HIGH-MID,physical,The producer was very,The missile was very,The producer limped and was very,The missile fell and was very,The missile limped and was very,2,ADJ
appliance,mover,registered,MID,psychological,The mover became very,The appliance became very,The mover registered and became very,The appliance fell and became very,The appliance registered and became very,3,ADJ
candle,consultant,registered,MID,psychological,The consultant was very,The candle was very,The consultant registered and was very,The candle fell and was very,The candle registered and was very,2,ADJ
ring,director,understood,HIGH,psychological,The director began to,The ring began to,The director understood and began to,The ring fell and began to,The ring understood and began to,0,VERB
disc,operator,trotted,HIGH-MID,physical,The operator became very,The disc became very,The operator trotted and became very,The disc fell and became very,The disc trotted and became very,3,ADJ
balloon,collector,read,HIGH,psychological,The collector began to,The balloon began to,The collector read and began to,The balloon fell and began to,The balloon read and began to,0,VERB
vase,assembler,read,HIGH,psychological,The assembler began to,The vase began to,The assembler read and began to,The vase fell and began to,The vase read and began to,0,VERB
bubble,nephew,blinked,HIGH,physical,The nephew began to,The bubble began to,The nephew blinked and began to,The bubble fell and began to,The bubble blinked and began to,0,VERB
machine,wife,stumbled,HIGH,physical,The wife started to,The machine started to,The wife stumbled and started to,The machine fell and started to,The machine stumbled and started to,1,VERB
plate,secretary,spit,HIGH,physical,The secretary started to,The plate started to,The secretary spit and started to,The plate fell and started to,The plate spit and started to,1,VERB
train,boy,paid,HIGH-MID,psychological,The boy started to,The train started to,The boy paid and started to,The train fell and started to,The train paid and started to,1,VERB
bullet,journalist,swallowed,HIGH,physical,The journalist became very,The bullet became very,The journalist swallowed and became very,The bullet fell and became very,The bullet swallowed and became very,3,ADJ
ski,grandfather,retorted,HIGH,psychological,The grandfather began to,The ski began to,The grandfather retorted and began to,The ski fell and began to,The ski retorted and began to,0,VERB
painting,boy,preached,HIGH,psychological,The boy began to,The painting began to,The boy preached and began to,The painting fell and began to,The painting preached and began to,0,VERB
phone,coach,sobbed,HIGH,physical,The coach was very,The phone was very,The coach sobbed and was very,The phone fell and was very,The phone sobbed and was very,2,ADJ
bed,engineer,preached,HIGH,psychological,The engineer started to,The bed started to,The engineer preached and started to,The bed fell and started to,The bed preached and started to,1,VERB
photograph,painter,shuddered,HIGH-MID,physical,The painter began to,The photograph began to,The painter shuddered and began to,The photograph fell and began to,The photograph shuddered and began to,0,VERB
clothing,operator,snarled,HIGH,psychological,The operator became very,The clothing became very,The operator snarled and became very,The clothing fell and became very,The clothing snarled and became very,3,ADJ
statue,chairman,jogged,HIGH-MID,physical,The chairman was very,The statue was very,The chairman jogged and was very,The statue fell and was very,The statue jogged and was very,2,ADJ
shield,associate,gulped,HIGH,physical,The associate started to,The shield started to,The associate gulped and started to,The shield fell and started to,The shield gulped and started to,1,VERB
shawl,assistant director,visited,HIGH,psychological,The assistant director started to,The shawl started to,The assistant director visited and started to,The shawl fell and started to,The shawl visited and started to,1,VERB
shawl,assistant director,walked,HIGH,physical,The assistant director was very,The shawl was very,The assistant director walked and was very,The shawl fell and was very,The shawl walked and was very,2,ADJ
record,person,hesitated,HIGH,psychological,The person was very,The record was very,The person hesitated and was very,The record fell and was very,The record hesitated and was very,2,ADJ
overcoat,infantryman,winked,HIGH-MID,physical,The infantryman was very,The overcoat was very,The infantryman winked and was very,The overcoat fell and was very,The overcoat winked and was very,2,ADJ
overcoat,infantryman,jumped,HIGH-MID,physical,The infantryman began to,The overcoat began to,The infantryman jumped and began to,The overcoat fell and began to,The overcoat jumped and began to,0,VERB
tape,girl,scowled,HIGH,psychological,The girl was very,The tape was very,The girl scowled and was very,The tape fell and was very,The tape scowled and was very,2,ADJ
branch,husband,crouched,HIGH,physical,The husband started to,The branch started to,The husband crouched and started to,The branch fell and started to,The branch crouched and started to,1,VERB
root,husband,sighed,HIGH,physical,The husband began to,The root began to,The husband sighed and began to,The root fell and began to,The root sighed and began to,0,VERB
car,minister,barked,MID,physical,The minister became very,The car became very,The minister barked and became very,The car fell and became very,The car barked and became very,3,ADJ
refrigerator,archaeologist,squinted,HIGH,physical,The archaeologist started to,The refrigerator started to,The archaeologist squinted and started to,The refrigerator fell and started to,The refrigerator squinted and started to,1,VERB
root,husband,recovered,HIGH-MID,physical,The husband started to,The root started to,The husband recovered and started to,The root fell and started to,The root recovered and started to,1,VERB
screen,boy,hesitated,HIGH,psychological,The boy started to,The screen started to,The boy hesitated and started to,The screen fell and started to,The screen hesitated and started to,1,VERB
hose,policeman,visited,HIGH,psychological,The policeman started to,The hose started to,The policeman visited and started to,The hose fell and started to,The hose visited and started to,1,VERB
chair,architect,gasped,HIGH,physical,The architect began to,The chair began to,The architect gasped and began to,The chair fell and began to,The chair gasped and began to,0,VERB
ambulance,grandson,knew,HIGH,psychological,The grandson began to,The ambulance began to,The grandson knew and began to,The ambulance fell and began to,The ambulance knew and began to,0,VERB
stairs,sheriff,guessed,HIGH,psychological,The sheriff began to,The stairs began to,The sheriff guessed and began to,The stairs fell and began to,The stairs guessed and began to,0,VERB
bomb,teacher,chose,HIGH,psychological,The teacher became very,The bomb became very,The teacher chose and became very,The bomb fell and became very,The bomb chose and became very,3,ADJ
pot,journalist,argued,HIGH-MID,psychological,The journalist became very,The pot became very,The journalist argued and became very,The pot fell and became very,The pot argued and became very,3,ADJ
bed,engineer,painted,HIGH-MID,physical,The engineer became very,The bed became very,The engineer painted and became very,The bed fell and became very,The bed painted and became very,3,ADJ
wig,chief engineer,danced,HIGH-MID,physical,The chief engineer started to,The wig started to,The chief engineer danced and started to,The wig fell and started to,The wig danced and started to,1,VERB
typewriter,grandson,stepped,HIGH,physical,The grandson started to,The typewriter started to,The grandson stepped and started to,The typewriter fell and started to,The typewriter stepped and started to,1,VERB
nickel,nurse,swallowed,HIGH,physical,The nurse was very,The nickel was very,The nurse swallowed and was very,The nickel fell and was very,The nickel swallowed and was very,2,ADJ
pen,attorney,bathed,HIGH-MID,physical,The attorney was very,The pen was very,The attorney bathed and was very,The pen fell and was very,The pen bathed and was very,2,ADJ
missile,producer,mumbled,HIGH,physical,The producer began to,The missile began to,The producer mumbled and began to,The missile fell and began to,The missile mumbled and began to,0,VERB
block,author,laughed,HIGH,physical,The author started to,The block started to,The author laughed and started to,The block fell and started to,The block laughed and started to,1,VERB
box,author,smiled,HIGH,physical,The author began to,The box began to,The author smiled and began to,The box fell and began to,The box smiled and began to,0,VERB
rock,wife,complained,HIGH,psychological,The wife became very,The rock became very,The wife complained and became very,The rock fell and became very,The rock complained and became very,3,ADJ
door,producer,dozed,HIGH,physical,The producer was very,The door was very,The producer dozed and was very,The door fell and was very,The door dozed and was very,2,ADJ
street,wife,grunted,HIGH,physical,The wife became very,The street became very,The wife grunted and became very,The street fell and became very,The street grunted and became very,3,ADJ
pants,administrator,trotted,HIGH-MID,physical,The administrator became very,The pants became very,The administrator trotted and became very,The pants fell and became very,The pants trotted and became very,3,ADJ
wallet,associate professor,practised,HIGH-MID,psychological,The associate professor became very,The wallet became very,The associate professor practised and became very,The wallet fell and became very,The wallet practised and became very,3,ADJ
submarine,uncle,shuddered,HIGH-MID,physical,The uncle started to,The submarine started to,The uncle shuddered and started to,The submarine fell and started to,The submarine shuddered and started to,1,VERB
tube,judge,practised,HIGH-MID,psychological,The judge started to,The tube started to,The judge practised and started to,The tube fell and started to,The tube practised and started to,1,VERB
twig,associate justice,pissed,HIGH,physical,The associate justice started to,The twig started to,The associate justice pissed and started to,The twig fell and started to,The twig pissed and started to,1,VERB
medallion,gardener,hurried,HIGH,psychological,The gardener started to,The medallion started to,The gardener hurried and started to,The medallion fell and started to,The medallion hurried and started to,1,VERB
spoon,estimator,flushed,HIGH-MID,physical,The estimator was very,The spoon was very,The estimator flushed and was very,The spoon fell and was very,The spoon flushed and was very,2,ADJ
candle,consultant,argued,HIGH-MID,psychological,The consultant started to,The candle started to,The consultant argued and started to,The candle fell and started to,The candle argued and started to,1,VERB
propeller,mathematician,stammered,HIGH,physical,The mathematician became very,The propeller became very,The mathematician stammered and became very,The propeller fell and became very,The propeller stammered and became very,3,ADJ
zipper,psychotherapist,meditated,HIGH,psychological,The psychotherapist began to,The zipper began to,The psychotherapist meditated and began to,The zipper fell and began to,The zipper meditated and began to,0,VERB
bed,engineer,breathed,HIGH,physical,The engineer began to,The bed began to,The engineer breathed and began to,The bed fell and began to,The bed breathed and began to,0,VERB
sandal,archeologist,wondered,HIGH,psychological,The archeologist was very,The sandal was very,The archeologist wondered and was very,The sandal fell and was very,The sandal wondered and was very,2,ADJ
violin,grandfather,talked,HIGH,psychological,The grandfather started to,The violin started to,The grandfather talked and started to,The violin fell and started to,The violin talked and started to,1,VERB
flask,accountant,swallowed,HIGH,physical,The accountant was very,The flask was very,The accountant swallowed and was very,The flask fell and was very,The flask swallowed and was very,2,ADJ
tub,bartender,guessed,HIGH,psychological,The bartender became very,The tub became very,The bartender guessed and became very,The tub fell and became very,The tub guessed and became very,3,ADJ
camera,pilot,dined,HIGH,physical,The pilot was very,The camera was very,The pilot dined and was very,The camera fell and was very,The camera dined and was very,2,ADJ
firewood,purchaser,conceded,HIGH-MID,psychological,The purchaser began to,The firewood began to,The purchaser conceded and began to,The firewood fell and began to,The firewood conceded and began to,0,VERB
stone,minister,drowned,HIGH-MID,physical,The minister started to,The stone started to,The minister drowned and started to,The stone fell and started to,The stone drowned and started to,1,VERB
scissors,broker,leaned,HIGH,physical,The broker was very,The scissors was very,The broker leaned and was very,The scissors fell and was very,The scissors leaned and was very,2,ADJ
note,wife,sneered,HIGH,psychological,The wife became very,The note became very,The wife sneered and became very,The note fell and became very,The note sneered and became very,3,ADJ
gown,executive officer,omitted,HIGH,physical,The executive officer was very,The gown was very,The executive officer omitted and was very,The gown fell and was very,The gown omitted and was very,2,ADJ
box,author,prayed,HIGH,psychological,The author began to,The box began to,The author prayed and began to,The box fell and began to,The box prayed and began to,0,VERB
furniture,chancellor,spoke,HIGH,psychological,The chancellor was very,The furniture was very,The chancellor spoke and was very,The furniture fell and was very,The furniture spoke and was very,2,ADJ
cake,clerk,sniffed,HIGH,physical,The clerk began to,The cake began to,The clerk sniffed and began to,The cake fell and began to,The cake sniffed and began to,0,VERB
rock,wife,fled,HIGH-MID,physical,The wife was very,The rock was very,The wife fled and was very,The rock fell and was very,The rock fled and was very,2,ADJ
magazine,student,stepped,HIGH,physical,The student started to,The magazine started to,The student stepped and started to,The magazine fell and started to,The magazine stepped and started to,1,VERB
pearl,painter,walked,HIGH,physical,The painter was very,The pearl was very,The painter walked and was very,The pearl fell and was very,The pearl walked and was very,2,ADJ
ambulance,grandson,suspected,HIGH,psychological,The grandson was very,The ambulance was very,The grandson suspected and was very,The ambulance fell and was very,The ambulance suspected and was very,2,ADJ
plate,secretary,fainted,HIGH,physical,The secretary started to,The plate started to,The secretary fainted and started to,The plate fell and started to,The plate fainted and started to,1,VERB
football,author,prayed,HIGH,psychological,The author was very,The football was very,The author prayed and was very,The football fell and was very,The football prayed and was very,2,ADJ
door,producer,showered,HIGH-MID,physical,The producer started to,The door started to,The producer showered and started to,The door fell and started to,The door showered and started to,1,VERB
aircraft,father,panicked,HIGH,psychological,The father began to,The aircraft began to,The father panicked and began to,The aircraft fell and began to,The aircraft panicked and began to,0,VERB
scissors,broker,objected,HIGH-MID,psychological,The broker was very,The scissors was very,The broker objected and was very,The scissors fell and was very,The scissors objected and was very,2,ADJ
jar,grandson,invested,MID,psychological,The grandson became very,The jar became very,The grandson invested and became very,The jar fell and became very,The jar invested and became very,3,ADJ
branch,husband,shrugged,HIGH,physical,The husband started to,The branch started to,The husband shrugged and started to,The branch fell and started to,The branch shrugged and started to,1,VERB
truck,painter,danced,HIGH-MID,physical,The painter started to,The truck started to,The painter danced and started to,The truck fell and started to,The truck danced and started to,1,VERB
street,wife,talked,HIGH,psychological,The wife was very,The street was very,The wife talked and was very,The street fell and was very,The street talked and was very,2,ADJ
photograph,painter,blinked,HIGH,physical,The painter became very,The photograph became very,The painter blinked and became very,The photograph fell and became very,The photograph blinked and became very,3,ADJ
kilt,bartender,saluted,HIGH,psychological,The bartender became very,The kilt became very,The bartender saluted and became very,The kilt fell and became very,The kilt saluted and became very,3,ADJ
ribbon,attorney general,argued,HIGH-MID,psychological,The attorney general began to,The ribbon began to,The attorney general argued and began to,The ribbon fell and began to,The ribbon argued and began to,0,VERB
tub,bartender,scowled,HIGH,psychological,The bartender was very,The tub was very,The bartender scowled and was very,The tub fell and was very,The tub scowled and was very,2,ADJ
rifle,founder,bowed,HIGH-MID,physical,The founder was very,The rifle was very,The founder bowed and was very,The rifle fell and was very,The rifle bowed and was very,2,ADJ
pencil,pastor,listened,HIGH,physical,The pastor became very,The pencil became very,The pastor listened and became very,The pencil fell and became very,The pencil listened and became very,3,ADJ
mirror,engineer,howled,MID,physical,The engineer was very,The mirror was very,The engineer howled and was very,The mirror fell and was very,The mirror howled and was very,2,ADJ
sock,animator,practised,HIGH-MID,psychological,The animator started to,The sock started to,The animator practised and started to,The sock fell and started to,The sock practised and started to,1,VERB
pillow,entrepreneur,evacuated,HIGH-MID,psychological,The entrepreneur began to,The pillow began to,The entrepreneur evacuated and began to,The pillow fell and began to,The pillow evacuated and began to,0,VERB
barrel,physician,limped,HIGH-MID,physical,The physician began to,The barrel began to,The physician limped and began to,The barrel fell and began to,The barrel limped and began to,0,VERB
nightgown,anchorman,jogged,HIGH-MID,physical,The anchorman was very,The nightgown was very,The anchorman jogged and was very,The nightgown fell and was very,The nightgown jogged and was very,2,ADJ
mine,engineer,wailed,HIGH,physical,The engineer began to,The mine began to,The engineer wailed and began to,The mine fell and began to,The mine wailed and began to,0,VERB
hose,policeman,groaned,HIGH,psychological,The policeman became very,The hose became very,The policeman groaned and became very,The hose fell and became very,The hose groaned and became very,3,ADJ
vest,cns,commented,HIGH-MID,psychological,The cns was very,The vest was very,The cns commented and was very,The vest fell and was very,The vest commented and was very,2,ADJ
pool,chairman,replied,HIGH,psychological,The chairman became very,The pool became very,The chairman replied and became very,The pool fell and became very,The pool replied and became very,3,ADJ
box,author,drawled,HIGH,physical,The author began to,The box began to,The author drawled and began to,The box fell and began to,The box drawled and began to,0,VERB
door,producer,sneered,HIGH,psychological,The producer started to,The door started to,The producer sneered and started to,The door fell and started to,The door sneered and started to,1,VERB
bell,secretary,laughed,HIGH,physical,The secretary started to,The bell started to,The secretary laughed and started to,The bell fell and started to,The bell laughed and started to,1,VERB
thermometer,police officer,disagreed,HIGH-MID,psychological,The police officer started to,The thermometer started to,The police officer disagreed and started to,The thermometer fell and started to,The thermometer disagreed and started to,1,VERB
bag,nephew,stared,HIGH,physical,The nephew began to,The bag began to,The nephew stared and began to,The bag fell and began to,The bag stared and began to,0,VERB
